,contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility
882,AAPL130607C00330000,AAPL,2013-06-07,call,330.0,A,118.55,,121.1,,0,0,2013-06-03,1.0,0.0,-0.9032,0.0,0.3333
883,AAPL130607P00330000,AAPL,2013-06-07,put,330.0,A,0.0,,0.01,,0,325,2013-06-03,0.0,0.0,0.0,0.0,0.3817
884,AAPL130607C00340000,AAPL,2013-06-07,call,340.0,A,108.6,,111.1,,0,0,2013-06-03,1.0,0.0,-0.9306,0.0,0.3333
885,AAPL130607P00340000,AAPL,2013-06-07,put,340.0,A,0.0,,0.01,,0,102,2013-06-03,0.0,0.0,0.0,0.0,0.3817
886,AAPL130607C00350000,AAPL,2013-06-07,call,350.0,A,99.85,,101.1,,0,1,2013-06-03,1.0,0.0,-0.9579,0.0,0.3333
887,AAPL130607P00350000,AAPL,2013-06-07,put,350.0,A,0.0,,0.01,,0,4,2013-06-03,0.0,0.0,0.0,0.0,0.3817
888,AAPL130607C00355000,AAPL,2013-06-07,call,355.0,A,93.6,,96.1,,0,1,2013-06-03,1.0,0.0,-0.9716,0.0,0.3333
889,AAPL130607P00355000,AAPL,2013-06-07,put,355.0,A,0.0,,0.01,,0,24,2013-06-03,0.0,0.0,0.0,0.0,0.3817
890,AAPL130607C00360000,AAPL,2013-06-07,call,360.0,A,89.5,,91.1,,0,0,2013-06-03,1.0,0.0,-0.9853,0.0,0.3333
891,AAPL130607P00360000,AAPL,2013-06-07,put,360.0,A,0.0,,0.03,,0,51,2013-06-03,0.0,0.0,0.0,0.0,0.3817
892,AAPL130607C00365000,AAPL,2013-06-07,call,365.0,A,83.45,,86.1,,0,2,2013-06-03,1.0,0.0,-0.999,0.0,0.3333
893,AAPL130607P00365000,AAPL,2013-06-07,put,365.0,A,0.0,,0.03,,100,37,2013-06-03,0.0,0.0,0.0,0.0,0.3817
894,AAPL130607C00370000,AAPL,2013-06-07,call,370.0,A,78.6,,81.1,,0,1,2013-06-03,1.0,0.0,-1.0127,0.0,0.3333
895,AAPL130607P00370000,AAPL,2013-06-07,put,370.0,A,0.01,,0.03,,134,137,2013-06-03,0.0,0.0,-0.0001,0.0,0.3817
896,AAPL130607C00375000,AAPL,2013-06-07,call,375.0,A,73.6,,76.1,,0,5,2013-06-03,1.0,0.0,-1.0264,0.0,0.3333
897,AAPL130607P00375000,AAPL,2013-06-07,put,375.0,A,0.01,,0.02,,10,441,2013-06-03,0.0,0.0,-0.001,0.0,0.3817
898,AAPL130607C00380000,AAPL,2013-06-07,call,380.0,A,69.9,,71.15,,0,10,2013-06-03,1.0,0.0,-1.0402,0.0,0.3333
899,AAPL130607P00380000,AAPL,2013-06-07,put,380.0,A,0.02,,0.03,,31,455,2013-06-03,0.0,0.0,-0.0058,0.0002,0.3817
900,AAPL130607C00385000,AAPL,2013-06-07,call,385.0,A,63.9,,66.1,,0,1,2013-06-03,1.0,0.0,-1.0551,0.0001,0.3333
901,AAPL130607P00385000,AAPL,2013-06-07,put,385.0,A,0.02,,0.04,,5,421,2013-06-03,0.0,0.0,-0.0292,0.0014,0.3817
902,AAPL130607C00390000,AAPL,2013-06-07,call,390.0,A,59.95,,61.0,,0,20,2013-06-03,1.0,0.0,-1.077,0.0005,0.3333
903,AAPL130607P00390000,AAPL,2013-06-07,put,390.0,A,0.02,,0.04,,268,1057,2013-06-03,0.0,0.0,-0.1275,0.0061,0.3817
904,AAPL130607C00395000,AAPL,2013-06-07,call,395.0,A,54.9,,56.2,,11,88,2013-06-03,1.0,0.0,-1.1359,0.003,0.3333
905,AAPL130607P00395000,AAPL,2013-06-07,put,395.0,A,0.03,,0.05,,206,1126,2013-06-03,-0.0001,0.0,-0.4823,0.0231,0.3817
906,AAPL130607C00400000,AAPL,2013-06-07,call,400.0,A,50.15,,51.0,,47,152,2013-06-03,0.9999,0.0,-1.3568,0.0144,0.3333
907,AAPL130607P00400000,AAPL,2013-06-07,put,400.0,A,0.01,,0.06,,178,1346,2013-06-03,-0.0005,0.0001,-1.5927,0.0762,0.3817
908,AAPL130607C00405000,AAPL,2013-06-07,call,405.0,A,45.2,,46.25,,7,22,2013-06-03,0.9996,0.0001,-2.1629,0.0578,0.3333
909,AAPL130607P00405000,AAPL,2013-06-07,put,405.0,A,0.05,,0.06,,384,622,2013-06-03,-0.0016,0.0002,-4.6109,0.2207,0.3817
910,AAPL130607C00410000,AAPL,2013-06-07,call,410.0,A,40.4,,41.05,,17,650,2013-06-03,0.9986,0.0002,-4.7145,0.197,0.3333
911,AAPL130607P00410000,AAPL,2013-06-07,put,410.0,A,0.05,,0.06,,1734,2323,2013-06-03,-0.0045,0.0008,-11.7579,0.5629,0.3817
912,AAPL130607C00415000,AAPL,2013-06-07,call,415.0,A,35.5,,36.05,,177,190,2013-06-03,0.9955,0.0009,-11.5592,0.5715,0.3333
913,AAPL130607P00415000,AAPL,2013-06-07,put,415.0,A,0.09,,0.1,,2632,1266,2013-06-03,-0.0112,0.0018,-26.5271,1.27,0.3817
914,AAPL130607C00420000,AAPL,2013-06-07,call,420.0,A,30.5,,31.05,,241,474,2013-06-03,0.9872,0.0023,-27.0502,1.4201,0.3333
915,AAPL130607P00420000,AAPL,2013-06-07,put,420.0,A,0.15,,0.17,,3205,2244,2013-06-03,-0.0253,0.0036,-53.1757,2.546,0.3817
916,AAPL130607C00425000,AAPL,2013-06-07,call,425.0,A,25.75,,26.3,,366,258,2013-06-03,0.9687,0.0049,-56.5769,3.0388,0.3333
917,AAPL130607P00425000,AAPL,2013-06-07,put,425.0,A,0.29,,0.3,,4680,2356,2013-06-03,-0.0449,0.006,-81.7193,4.0765,0.3664
918,AAPL130607C00430000,AAPL,2013-06-07,call,430.0,A,20.95,,21.35,,843,720,2013-06-03,0.9361,0.0089,-97.5502,5.3891,0.3269
919,AAPL130607P00430000,AAPL,2013-06-07,put,430.0,A,0.48,,0.52,,7120,2323,2013-06-03,-0.0743,0.0095,-114.2263,6.0522,0.3449
920,AAPL130607C00435000,AAPL,2013-06-07,call,435.0,A,16.45,,16.85,,1369,563,2013-06-03,0.873,0.0146,-163.1651,8.9629,0.3304
921,AAPL130607P00435000,AAPL,2013-06-07,put,435.0,A,0.9,,0.94,,10736,3406,2013-06-03,-0.1276,0.0146,-162.9745,8.9937,0.3313
922,AAPL130607C00440000,AAPL,2013-06-07,call,440.0,A,12.2,,12.55,,7932,2028,2013-06-03,0.7907,0.021,-216.3283,12.3867,0.3176
923,AAPL130607P00440000,AAPL,2013-06-07,put,440.0,A,1.66,,1.71,,12236,4258,2013-06-03,-0.2117,0.0208,-218.9871,12.4716,0.3211
924,AAPL130607C00445000,AAPL,2013-06-07,call,445.0,A,8.55,,8.7,,14434,2163,2013-06-03,0.6731,0.0271,-263.5371,15.5399,0.3088
925,AAPL130607P00445000,AAPL,2013-06-07,put,445.0,A,2.92,,2.99,,15011,3964,2013-06-03,-0.3288,0.0268,-266.2549,15.5761,0.3127
926,AAPL130607C00450000,AAPL,2013-06-07,call,450.0,A,5.5,,5.6,,26396,6919,2013-06-03,0.5282,0.0307,-283.0115,17.1404,0.3009
927,AAPL130607P00450000,AAPL,2013-06-07,put,450.0,A,4.85,,5.0,,13091,4797,2013-06-03,-0.4721,0.03,-288.1792,17.1415,0.3076
928,AAPL130607C00455000,AAPL,2013-06-07,call,455.0,A,3.25,,3.35,,20738,8221,2013-06-03,0.376,0.0295,-267.6887,16.3462,0.2985
929,AAPL130607P00455000,AAPL,2013-06-07,put,455.0,A,7.5,,7.8,,2523,2665,2013-06-03,-0.6219,0.0291,-271.4043,16.3753,0.3036
930,AAPL130607C00460000,AAPL,2013-06-07,call,460.0,A,1.79,,1.85,,19878,7855,2013-06-03,0.2429,0.0243,-221.3166,13.4789,0.2995
931,AAPL130607P00460000,AAPL,2013-06-07,put,460.0,A,11.0,,11.35,,1300,1043,2013-06-03,-0.7527,0.024,-226.4966,13.6077,0.3053
932,AAPL130607C00465000,AAPL,2013-06-07,call,465.0,A,0.92,,0.97,,11069,5863,2013-06-03,0.1436,0.0174,-161.5822,9.7522,0.3023
933,AAPL130607P00465000,AAPL,2013-06-07,put,465.0,A,15.05,,15.45,,542,413,2013-06-03,-0.8541,0.0174,-163.664,9.86,0.3052
934,AAPL130607C00470000,AAPL,2013-06-07,call,470.0,A,0.47,,0.48,,9365,5973,2013-06-03,0.0798,0.0112,-108.0248,6.394,0.3083
935,AAPL130607P00470000,AAPL,2013-06-07,put,470.0,A,19.55,,20.05,,228,370,2013-06-03,-0.9173,0.0112,-111.0936,6.5645,0.3124
936,AAPL130607C00475000,AAPL,2013-06-07,call,475.0,A,0.21,,0.24,,3882,3668,2013-06-03,0.0416,0.0066,-65.9757,3.8335,0.3141
937,AAPL130607P00475000,AAPL,2013-06-07,put,475.0,A,24.35,,24.8,,271,161,2013-06-03,-0.9553,0.0068,-69.944,4.0608,0.3202
938,AAPL130607C00480000,AAPL,2013-06-07,call,480.0,A,0.1,,0.13,,3150,2624,2013-06-03,0.0222,0.0038,-40.571,2.2785,0.325
939,AAPL130607P00480000,AAPL,2013-06-07,put,480.0,A,29.15,,29.75,,128,123,2013-06-03,-0.9794,0.0036,-36.2564,2.1416,0.3202
940,AAPL130607C00485000,AAPL,2013-06-07,call,485.0,A,0.06,,0.08,,452,1449,2013-06-03,0.0136,0.0023,-28.2969,1.4988,0.3446
941,AAPL130607P00485000,AAPL,2013-06-07,put,485.0,A,34.15,,34.75,,114,47,2013-06-03,-0.9913,0.0017,-16.4452,1.0132,0.3202
942,AAPL130607C00490000,AAPL,2013-06-07,call,490.0,A,0.04,,0.05,,605,1478,2013-06-03,0.0087,0.0015,-20.3556,1.0181,0.365
943,AAPL130607P00490000,AAPL,2013-06-07,put,490.0,A,39.0,,39.8,,16,90,2013-06-03,-0.9967,0.0007,-6.2265,0.4314,0.3202
944,AAPL130607C00495000,AAPL,2013-06-07,call,495.0,A,0.02,,0.04,,337,1668,2013-06-03,0.0055,0.001,-14.3266,0.6825,0.3832
945,AAPL130607P00495000,AAPL,2013-06-07,put,495.0,A,44.15,,45.3,,0,18,2013-06-03,-0.9988,0.0002,-1.5551,0.1659,0.3202
946,AAPL130607C00500000,AAPL,2013-06-07,call,500.0,A,0.02,,0.04,,109,1635,2013-06-03,0.0023,0.0005,-6.871,0.3274,0.3832
947,AAPL130607P00500000,AAPL,2013-06-07,put,500.0,A,49.15,,50.25,,11,61,2013-06-03,-0.9996,0.0001,0.3548,0.0578,0.3202
948,AAPL130607C00505000,AAPL,2013-06-07,call,505.0,A,0.01,,0.05,,8,125,2013-06-03,0.001,0.0002,-3.0821,0.1468,0.3832
949,AAPL130607P00505000,AAPL,2013-06-07,put,505.0,A,53.35,,56.0,,0,0,2013-06-03,-0.9999,0.0,1.0613,0.0183,0.3202
950,AAPL130607C00510000,AAPL,2013-06-07,call,510.0,A,0.01,,0.03,,128,623,2013-06-03,0.0004,0.0001,-1.2957,0.0617,0.3832
951,AAPL130607P00510000,AAPL,2013-06-07,put,510.0,A,59.05,,60.25,,0,11,2013-06-03,-1.0,0.0,1.3032,0.0053,0.3202
952,AAPL130607C00515000,AAPL,2013-06-07,call,515.0,A,0.01,,0.04,,0,20,2013-06-03,0.0001,0.0,-0.5115,0.0244,0.3832
953,AAPL130607P00515000,AAPL,2013-06-07,put,515.0,A,64.15,,65.3,,0,2,2013-06-03,-1.0,0.0,1.3851,0.0014,0.3202
954,AAPL130607C00520000,AAPL,2013-06-07,call,520.0,A,0.01,,0.03,,1,335,2013-06-03,0.0001,0.0,-0.19,0.0091,0.3832
955,AAPL130607P00520000,AAPL,2013-06-07,put,520.0,A,69.15,,70.3,,0,17,2013-06-03,-1.0,0.0,1.4173,0.0002,0.3202
956,AAPL130607C00530000,AAPL,2013-06-07,call,530.0,A,0.0,,0.01,,26,331,2013-06-03,0.0,0.0,-0.022,0.001,0.3832
957,AAPL130607P00530000,AAPL,2013-06-07,put,530.0,A,79.15,,80.3,,0,9,2013-06-03,-1.0,0.0,1.4503,0.0,0.3202
958,AAPL130607C00540000,AAPL,2013-06-07,call,540.0,A,0.0,,0.01,,195,804,2013-06-03,0.0,0.0,-0.002,0.0001,0.3832
959,AAPL130607P00540000,AAPL,2013-06-07,put,540.0,A,89.05,,90.3,,0,0,2013-06-03,-1.0,0.0,1.4779,0.0,0.3202
960,AAPL130614C00320000,AAPL,2013-06-14,call,320.0,A,128.6,,131.3,,0,0,2013-06-03,1.0,0.0,-0.8758,0.0,0.3452
961,AAPL130614P00320000,AAPL,2013-06-14,put,320.0,A,0.0,,0.04,,0,0,2013-06-03,0.0,0.0,-0.0011,0.0002,0.4151
962,AAPL130614C00330000,AAPL,2013-06-14,call,330.0,A,118.65,,121.25,,0,0,2013-06-03,1.0,0.0,-0.9032,0.0,0.3452
963,AAPL130614P00330000,AAPL,2013-06-14,put,330.0,A,0.0,,0.07,,0,14,2013-06-03,0.0,0.0,-0.0089,0.0011,0.4151
964,AAPL130614C00340000,AAPL,2013-06-14,call,340.0,A,108.65,,111.35,,0,0,2013-06-03,1.0,0.0,-0.9317,0.0002,0.3452
965,AAPL130614P00340000,AAPL,2013-06-14,put,340.0,A,0.0,,0.05,,0,36,2013-06-03,0.0,0.0,-0.0556,0.0076,0.4151
966,AAPL130614C00350000,AAPL,2013-06-14,call,350.0,A,98.65,,101.25,,0,3,2013-06-03,1.0,0.0,-0.9702,0.002,0.3452
967,AAPL130614P00350000,AAPL,2013-06-14,put,350.0,A,0.0,,0.05,,0,8,2013-06-03,-0.0001,0.0,-0.2763,0.0377,0.4151
968,AAPL130614C00360000,AAPL,2013-06-14,call,360.0,A,89.2,,91.2,,0,0,2013-06-03,1.0,0.0,-1.0771,0.0151,0.3452
969,AAPL130614P00360000,AAPL,2013-06-14,put,360.0,A,0.0,,0.06,,0,70,2013-06-03,-0.0006,0.0001,-1.1134,0.152,0.4151
970,AAPL130614C00365000,AAPL,2013-06-14,call,365.0,A,84.75,,86.2,,0,0,2013-06-03,0.9999,0.0,-1.2244,0.037,0.3452
971,AAPL130614P00365000,AAPL,2013-06-14,put,365.0,A,0.04,,0.1,,0,31,2013-06-03,-0.0053,0.0004,-10.148,1.1527,0.4988
972,AAPL130614C00370000,AAPL,2013-06-14,call,370.0,A,80.3,,81.45,,0,8,2013-06-03,0.9997,0.0,-1.53,0.0849,0.3452
973,AAPL130614P00370000,AAPL,2013-06-14,put,370.0,A,0.04,,0.09,,1,72,2013-06-03,-0.0053,0.0004,-9.5681,1.1616,0.4667
974,AAPL130614C00375000,AAPL,2013-06-14,call,375.0,A,74.8,,76.1,,0,0,2013-06-03,0.9993,0.0001,-2.1386,0.1826,0.3452
975,AAPL130614P00375000,AAPL,2013-06-14,put,375.0,A,0.09,,0.13,,5,62,2013-06-03,-0.0089,0.0007,-15.1217,1.8258,0.4693
976,AAPL130614C00380000,AAPL,2013-06-14,call,380.0,A,70.3,,71.1,,2,1,2013-06-03,0.9985,0.0002,-3.2867,0.3688,0.3452
977,AAPL130614P00380000,AAPL,2013-06-14,put,380.0,A,0.13,,0.16,,138,207,2013-06-03,-0.0118,0.0009,-18.7974,2.3354,0.4561
978,AAPL130614C00385000,AAPL,2013-06-14,call,385.0,A,64.85,,66.25,,0,0,2013-06-03,0.997,0.0004,-5.3264,0.7014,0.3452
979,AAPL130614P00385000,AAPL,2013-06-14,put,385.0,A,0.16,,0.24,,115,111,2013-06-03,-0.016,0.0011,-23.803,3.0333,0.4447
980,AAPL130614C00390000,AAPL,2013-06-14,call,390.0,A,59.9,,61.3,,0,0,2013-06-03,0.9942,0.0005,-8.7354,1.2588,0.3452
981,AAPL130614P00390000,AAPL,2013-06-14,put,390.0,A,0.19,,0.3,,1,235,2013-06-03,-0.0199,0.0015,-27.4263,3.6504,0.4258
982,AAPL130614C00395000,AAPL,2013-06-14,call,395.0,A,55.0,,56.35,,0,0,2013-06-03,0.9893,0.0011,-14.0947,2.1368,0.3452
983,AAPL130614P00395000,AAPL,2013-06-14,put,395.0,A,0.3,,0.37,,296,117,2013-06-03,-0.0271,0.002,-34.7163,4.7401,0.4151
984,AAPL130614C00400000,AAPL,2013-06-14,call,400.0,A,50.75,,51.35,,58,161,2013-06-03,0.9815,0.0017,-22.0225,3.4365,0.3452
985,AAPL130614P00400000,AAPL,2013-06-14,put,400.0,A,0.41,,0.44,,592,512,2013-06-03,-0.0347,0.0025,-40.9134,5.8209,0.3983
986,AAPL130614C00405000,AAPL,2013-06-14,call,405.0,A,45.85,,46.45,,25,30,2013-06-03,0.9694,0.0026,-33.0595,5.2471,0.3452
987,AAPL130614P00405000,AAPL,2013-06-14,put,405.0,A,0.51,,0.58,,574,339,2013-06-03,-0.0447,0.0033,-48.1764,7.153,0.3817
988,AAPL130614C00410000,AAPL,2013-06-14,call,410.0,A,41.0,,41.85,,5,27,2013-06-03,0.9484,0.004,-50.9041,8.0182,0.352
989,AAPL130614P00410000,AAPL,2013-06-14,put,410.0,A,0.68,,0.75,,1250,659,2013-06-03,-0.0585,0.0042,-57.2945,8.8605,0.3666
990,AAPL130614C00415000,AAPL,2013-06-14,call,415.0,A,36.15,,36.9,,35,35,2013-06-03,0.9349,0.0051,-57.2448,9.6237,0.3306
991,AAPL130614P00415000,AAPL,2013-06-14,put,415.0,A,0.86,,1.0,,513,371,2013-06-03,-0.0761,0.0054,-67.0179,10.8512,0.3502
992,AAPL130614C00420000,AAPL,2013-06-14,call,420.0,A,31.65,,32.2,,84,81,2013-06-03,0.9035,0.0068,-76.481,12.962,0.3296
993,AAPL130614P00420000,AAPL,2013-06-14,put,420.0,A,1.25,,1.33,,673,977,2013-06-03,-0.1027,0.007,-81.2396,13.5747,0.3394
