,contract,underlying,expiration,type,strike,style,bid,bid_size,ask,ask_size,volume,open_interest,quote_date,delta,gamma,theta,vega,implied_volatility
914,AAPL130607C00330000,AAPL,2013-06-07,call,330.0,A,111.55,,112.4,,0,0,2013-06-07,1.0,0.0,0.0,0.0,0.3
915,AAPL130607P00330000,AAPL,2013-06-07,put,330.0,A,0.0,,0.01,,2,325,2013-06-07,0.0,0.0,0.0,0.0,0.3
916,AAPL130607C00340000,AAPL,2013-06-07,call,340.0,A,101.5,,102.4,,0,0,2013-06-07,1.0,0.0,0.0,0.0,0.3
917,AAPL130607P00340000,AAPL,2013-06-07,put,340.0,A,0.0,,0.01,,0,102,2013-06-07,0.0,0.0,0.0,0.0,0.3
918,AAPL130607C00350000,AAPL,2013-06-07,call,350.0,A,91.55,,92.55,,0,1,2013-06-07,1.0,0.0,0.0,0.0,0.3
919,AAPL130607P00350000,AAPL,2013-06-07,put,350.0,A,0.0,,0.01,,0,4,2013-06-07,0.0,0.0,0.0,0.0,0.3
920,AAPL130607C00355000,AAPL,2013-06-07,call,355.0,A,86.5,,87.6,,1,1,2013-06-07,1.0,0.0,0.0,0.0,0.3
921,AAPL130607P00355000,AAPL,2013-06-07,put,355.0,A,0.0,,0.01,,0,24,2013-06-07,0.0,0.0,0.0,0.0,0.3
922,AAPL130607C00360000,AAPL,2013-06-07,call,360.0,A,81.5,,82.4,,0,0,2013-06-07,1.0,0.0,0.0,0.0,0.3
923,AAPL130607P00360000,AAPL,2013-06-07,put,360.0,A,0.0,,0.01,,0,51,2013-06-07,0.0,0.0,0.0,0.0,0.3
924,AAPL130607C00365000,AAPL,2013-06-07,call,365.0,A,76.5,,77.4,,0,2,2013-06-07,1.0,0.0,0.0,0.0,0.3
925,AAPL130607P00365000,AAPL,2013-06-07,put,365.0,A,0.0,,0.01,,0,143,2013-06-07,0.0,0.0,0.0,0.0,0.3
926,AAPL130607C00370000,AAPL,2013-06-07,call,370.0,A,71.5,,72.4,,0,1,2013-06-07,1.0,0.0,0.0,0.0,0.3
927,AAPL130607P00370000,AAPL,2013-06-07,put,370.0,A,0.0,,0.01,,0,278,2013-06-07,0.0,0.0,0.0,0.0,0.3
928,AAPL130607C00375000,AAPL,2013-06-07,call,375.0,A,66.45,,67.65,,0,5,2013-06-07,1.0,0.0,0.0,0.0,0.3
929,AAPL130607P00375000,AAPL,2013-06-07,put,375.0,A,0.0,,0.01,,0,594,2013-06-07,0.0,0.0,0.0,0.0,0.3
930,AAPL130607C00380000,AAPL,2013-06-07,call,380.0,A,61.45,,62.6,,10,10,2013-06-07,1.0,0.0,0.0,0.0,0.3
931,AAPL130607P00380000,AAPL,2013-06-07,put,380.0,A,0.0,,0.01,,3,646,2013-06-07,0.0,0.0,0.0,0.0,0.3
932,AAPL130607C00385000,AAPL,2013-06-07,call,385.0,A,56.5,,57.45,,0,1,2013-06-07,1.0,0.0,0.0,0.0,0.3
