rows,measure,io,cpu,K,peak_mib,wall_s,status
100000000,column_stats,8,12,0,2238.6,4.75,ok
100000000,column_stats,8,12,8,1698.6,8.39,ok
100000000,column_stats,8,12,default,2223.0,4.88,ok
100000000,column_stats,16,24,0,3120.5,3.33,ok
100000000,column_stats,16,24,8,1870.1,8.08,ok
100000000,column_stats,16,24,default,3026.5,3.51,ok
100000000,column_stats,64,96,0,10629.4,2.94,ok
100000000,column_stats,64,96,8,1755.3,7.08,ok
100000000,column_stats,64,96,default,10684.4,2.99,ok
100000000,filter,8,12,0,717.0,3.38,ok
100000000,filter,8,12,8,751.0,5.78,ok
100000000,filter,8,12,default,728.8,3.13,ok
100000000,filter,16,24,0,1242.5,1.90,ok
100000000,filter,16,24,8,805.4,2.84,ok
100000000,filter,16,24,default,1214.0,1.99,ok
100000000,filter,64,96,0,4042.1,1.68,ok
100000000,filter,64,96,8,812.7,2.78,ok
100000000,filter,64,96,default,3741.9,1.62,ok
100000000,resample,8,12,0,29255.4,4.54,ok
100000000,resample,8,12,8,17156.0,6.22,ok
100000000,resample,8,12,default,27048.7,4.78,ok
100000000,resample,16,24,0,35539.4,3.94,ok
100000000,resample,16,24,8,17807.3,6.02,ok
100000000,resample,16,24,default,33574.5,3.85,ok
100000000,resample,64,96,0,46191.2,3.81,ok
100000000,resample,64,96,8,17166.5,6.22,ok
100000000,resample,64,96,default,47240.3,3.83,ok
100000000,groupby,8,12,0,81812.4,17.45,ok
100000000,groupby,8,12,8,79306.1,20.35,ok
100000000,groupby,8,12,default,81387.5,19.81,ok
100000000,groupby,16,24,0,82285.1,17.57,ok
100000000,groupby,16,24,8,79413.0,27.60,ok
100000000,groupby,16,24,default,82442.4,18.47,ok
100000000,groupby,64,96,0,83465.5,18.87,ok
100000000,groupby,64,96,8,79150.2,26.88,ok
100000000,groupby,64,96,default,82258.3,19.10,ok
