rows,measure,io,cpu,K,peak_mib,wall_s,status
100000000,column_stats,8,12,0,2455.8,3.91,ok
100000000,column_stats,8,12,8,1699.1,7.73,ok
100000000,column_stats,8,12,default,2458.8,3.88,ok
100000000,column_stats,16,24,0,5300.7,3.02,ok
100000000,column_stats,16,24,8,2187.2,7.85,ok
100000000,column_stats,16,24,default,3596.9,3.00,ok
100000000,column_stats,64,96,0,34668.9,2.64,ok
100000000,column_stats,64,96,8,4396.3,8.95,ok
100000000,column_stats,64,96,default,17860.5,2.52,ok
100000000,filter,8,12,0,781.8,3.67,ok
100000000,filter,8,12,8,767.3,4.62,ok
100000000,filter,8,12,default,774.9,3.36,ok
100000000,filter,16,24,0,1331.0,2.38,ok
100000000,filter,16,24,8,1241.8,5.77,ok
100000000,filter,16,24,default,1316.9,2.76,ok
100000000,filter,64,96,0,4763.3,2.00,ok
100000000,filter,64,96,8,3528.2,6.15,ok
100000000,filter,64,96,default,4768.6,2.17,ok
100000000,resample,8,12,0,28330.5,4.39,ok
100000000,resample,8,12,8,17615.6,5.80,ok
100000000,resample,8,12,default,29180.9,4.37,ok
100000000,resample,16,24,0,41407.0,3.52,ok
100000000,resample,16,24,8,17734.9,5.57,ok
100000000,resample,16,24,default,39341.5,3.56,ok
100000000,resample,64,96,0,72794.3,2.55,ok
100000000,resample,64,96,8,19555.2,5.53,ok
100000000,resample,64,96,default,69743.3,2.57,ok
100000000,groupby,8,12,0,105813.9,17.37,ok
100000000,groupby,8,12,8,78831.7,19.61,ok
100000000,groupby,8,12,default,80688.4,17.29,ok
100000000,groupby,16,24,0,106876.4,18.42,ok
100000000,groupby,16,24,8,79326.9,19.26,ok
100000000,groupby,16,24,default,82510.1,17.33,ok
100000000,groupby,64,96,0,117136.0,20.62,ok
100000000,groupby,64,96,8,80876.1,19.89,ok
100000000,groupby,64,96,default,93083.5,17.56,ok
