rows,measure,io,cpu,K,peak_mib,wall_s,status
100000000,column_stats,8,12,0,2110.0,5.26,ok
100000000,column_stats,8,12,8,1702.7,7.94,ok
100000000,column_stats,8,12,default,2072.5,5.49,ok
100000000,column_stats,16,24,0,2848.8,3.92,ok
100000000,column_stats,16,24,8,1704.7,8.12,ok
100000000,column_stats,16,24,default,2716.4,3.58,ok
100000000,column_stats,64,96,0,8256.0,2.44,ok
100000000,column_stats,64,96,8,1641.4,8.23,ok
100000000,column_stats,64,96,default,7972.1,2.49,ok
100000000,filter,8,12,0,720.9,2.89,ok
100000000,filter,8,12,8,774.5,3.24,ok
100000000,filter,8,12,default,693.0,2.79,ok
100000000,filter,16,24,0,1257.0,1.94,ok
100000000,filter,16,24,8,709.0,2.82,ok
100000000,filter,16,24,default,1254.8,2.18,ok
100000000,filter,64,96,0,3977.0,1.60,ok
100000000,filter,64,96,8,713.0,3.03,ok
100000000,filter,64,96,default,3904.5,1.63,ok
100000000,resample,8,12,0,24463.6,5.66,ok
100000000,resample,8,12,8,16537.7,6.00,ok
100000000,resample,8,12,default,25448.9,5.47,ok
100000000,resample,16,24,0,30145.9,4.47,ok
100000000,resample,16,24,8,16504.7,5.82,ok
100000000,resample,16,24,default,33759.9,4.58,ok
100000000,resample,64,96,0,38581.2,4.52,ok
100000000,resample,64,96,8,16488.4,6.10,ok
100000000,resample,64,96,default,39270.0,4.60,ok
100000000,groupby,8,12,0,85473.0,19.62,ok
100000000,groupby,8,12,8,83491.3,27.06,ok
100000000,groupby,8,12,default,85457.5,17.39,ok
100000000,groupby,16,24,0,89082.0,17.07,ok
100000000,groupby,16,24,8,83612.0,21.27,ok
100000000,groupby,16,24,default,89188.0,15.67,ok
100000000,groupby,64,96,0,92444.0,16.03,ok
100000000,groupby,64,96,8,83513.0,22.00,ok
100000000,groupby,64,96,default,92484.4,17.13,ok
